"asset_id","company_name","number_of_employees","head_of_company","founded_year","website","gics_sector","gics_industry","symbol","asset_class","thumbnail_style","exchange_code","exchange_name","business_description"
11006518,Studio City International Holdings Ltd.,5286,,2000,http://www.studiocity-macau.com,Consumer Discretionary,"Hotels, Restaurants & Leisure",MSC,DepositoryReceipt,PORTRAIT,NYSE,New York Stock Exchange,"Studio City International Holdings Ltd. engages in the hospitality business and provision of gaming related services in Macau. It offers hotel, gaming dining, retail, entertainment facilities. The company was founded on August 2, 2000 and is headquartered in Hong Kong."
11003089,NorthView Acquisition Corp.,2,Jack E. Stover,2021,http://www.northview-ac.com,Financials,Capital Markets,NVAC,Stock,PORTRAIT,NASDAQ,NASDAQ,"NorthView Acquisition Corp. is a blank check company, which intends to effect a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. The company was founded by Fred S. Knechtel and Jack E. Stover on April 19, 2021 and is headquartered in New York, NY."
11005496,Curtiss-Wright Corp.,8600,Lynn M. Bamford,1929,http://www.curtisswright.com,Industrials,Aerospace & Defense,CW,Stock,PORTRAIT,NYSE,New York Stock Exchange,"Curtiss-Wright Corp. is a global integrated business that provides engineered products, solutions, and services mainly to the aerospace and defense markets, as well as critical technologies in demanding commercial power, process, and industrial markets. It operates through the following three segments: Aerospace & Industrial, Defense Electronics, and Naval & Power. The Aerospace & Industrial segment offers engineered products and services supporting critical applications primarily across the commercial aerospace and general industrial markets, including industrial and specialty vehicle products, such as electronic throttle control devices, joysticks, and transmission shifters, sensors, controls, and electro-mechanical actuation components used on commercial and military aircraft, and surface technology services, such as shot peening, laser peening, and engineered coatings. The Defense Electronics segment includes Commercial Off-the-Shelf (COTS) embedded computing board-level modules, data acquisition and flight test instrumentation equipment, integrated subsystems, instrumentation and control systems, tactical communications solutions for battlefield network management, and electronic stabilization products, primarily to the defense markets and, to a lesser extent, the commercial aerospace market. The Naval & Power segment primarily provides solutions to the naval defense and power & process markets, including naval propulsion equipment, main coolant pumps, motors, generators, steam turbines, valves, and secondary propulsion systems, as well as a diversified offering of products for commercial nuclear power plants and nuclear equipment manufacturers, and specialized severe-service valve technologies to energy and industrial markets. The company was founded on July 5, 1929 and is headquartered in Davidson, NC."
11000393,ATAI Life Sciences NV,83,Florian Brand,2018,http://www.atai.life,Health Care,Biotechnology,ATAI,Stock,PORTRAIT,NASDAQ,NASDAQ,"ATAI Life Sciences NV is a clinical-stage biopharmaceutical company. It engages in the treatment of mental health disorders. The company was founded by Christian Angermayer, Florian Brand, Srinivas Rao and Lars Christian Wilde in June 2018 and is headquartered in Berlin, Germany."
11007511,Vector Group Ltd.,524,Howard Mark Lorber,1980,http://www.vectorgroupltd.com,Consumer Staples,Tobacco,VGR,Stock,PORTRAIT,NYSE,New York Stock Exchange,"Vector Group Ltd. is a holding company, which engages in the distribution of tobacco products. It operates through the following segments: Tobacco, Real Estate, and Corporate and Other. The Tobacco segment consists of the manufacturing and sale of cigarettes. The Real Estate segment includes the acquisition and investments in real estate properties and projects. The company was founded in 1980 and is headquartered in Miami, FL."
11002746,Mountain Crest Acquisition Corp. V,,Su Ying Liu,2021,"",Financials,Capital Markets,MCAG-UN,Stock,PORTRAIT,NASDAQ,NASDAQ,"Mountain Crest Acquisition Corp. V is a blank check company formed for the purpose of effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses. The company was founded on April 8, 2021 and is headquartered in New York, NY."
11002745,Mountain Crest Acquisition Corp. V,,Su Ying Liu,2021,"",Financials,Capital Markets,MCAG,Stock,PORTRAIT,NASDAQ,NASDAQ,"Mountain Crest Acquisition Corp. V is a blank check company formed for the purpose of effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses. The company was founded on April 8, 2021 and is headquartered in New York, NY."
11006401,"MBIA, Inc.",61,Bill Fallon,1973,http://www.mbia.com,Financials,Insurance,MBI,Stock,PORTRAIT,NYSE,New York Stock Exchange,"MBIA, Inc. is a holding company, which engages in the provision of financial guarantee insurance, related reinsurance, advisory and portfolio services, and asset management advisory services. It operates through the following business segments: U.S. Public Finance Insurance, Corporate, and International and Structured Finance Insurance. The U.S. Public Finance Insurance segment issues financial guarantees for municipal bonds, including tax-exempt and taxable indebtedness of U.S. political subdivisions through its National subsidiary. The Corporate segment consists of general corporate activities including providing general support services to MBIA's other operating businesses and asset and capital management. The International and Structured Finance Insurance segment includes the operation of MBIA Corp. The company was founded in 1973 and is headquartered in Purchase, NY."
11004756,"Xometry, Inc.",992,Randolph Altschuler,2013,http://www.xometry.com,Industrials,Trading Companies & Distributors,XMTR,Stock,PORTRAIT,NASDAQ,NASDAQ,"Xometry, Inc. engages in the provision of manufacturing solutions. The firm operates through the U.S. and Revenues segments. Its proprietary software platform enables product designers and engineers to instantly access the capacity of a nationwide network of manufacturing facilities. The company was founded by Laurence Zuriff and Randolph Altschuler in 2013 and is headquartered in North Bethesda, MD."
11002915,"Molecular Templates, Inc.",62,Eric E. Poma,2000,http://www.mtem.com,Health Care,Biotechnology,MTEM,Stock,PORTRAIT,NASDAQ,NASDAQ,"Molecular Templates, Inc. engages in the discovery, development, and commercialization of biologic therapeutics for the treatment of cancers and other serious diseases. It utilizes its proprietary biologic drug platform to design and generate engineered toxin bodies, or ETBs. The company was founded by Eric E. Poma, Jean Gariépy, and Leigh Revers in 2001 and is headquartered in Austin, TX."
11003907,"Shore Bancshares, Inc.",,James M. Burke,1996,http://www.shorebancshares.com,Financials,Banks,SHBI,Stock,PORTRAIT,NASDAQ,NASDAQ,"Shore Bancshares, Inc. is a financial holding company, which engages in the provision of commercial banking products and services to individuals and businesses. Its services include checking accounts, various savings programs, mortgage loans, home improvement loans, installment and other personal loans, credit cards, personal lines of credit, automobile and other consumer financing, safe deposit boxes, debit cards, 24-hour telephone banking, internet banking, mobile banking, and 24-hour automatic teller machine services. It also offers commercial checking, savings, certificates of deposit, and overnight investment sweep accounts. The company was founded on March 15, 1996 and is headquartered in Easton, MD."
11007806,"Friedman Industries, Inc.",235,Michael J. Taylor,1965,http://www.friedmanindustries.com,Materials,Metals & Mining,FRD,Stock,PORTRAIT,NYSE,New York Stock Exchange,"Friedman Industries, Inc. engages in the provision of manufacture and trade of steel products. It operates through the Coil and Tubular segments. The Coil segment produces and markets hot-rolled steel and coils. The Tubular segment focuses on the operation of two electric resistance welded pipe mills with a combined outside diameter. The company was founded by Mendel Friedman in 1965 and is headquartered in Longview, TX."
11007632,W.R. Berkley Corp.,8329,Robert Berkley,1967,http://www.wrberkley.com,Financials,Insurance,WRB,Stock,PORTRAIT,NYSE,New York Stock Exchange,"W.R. Berkley Corp. is an insurance holding company, which engages in the property casualty insurance business. It operates through the following segments: Insurance and Reinsurance & Monoline Excess. The Insurance segment includes excess and surplus lines, admitted lines, and specialty personal lines throughout the United States, as well as insurance businesses in the United Kingdom, Continental Europe, South America, Canada, Mexico, Scandinavia, Asia, and Australia. The Reinsurance & Monoline Excess segment is involved in the reinsurance business on a facultative and treaty basis, primarily in the United States, United Kingdom, Continental Europe, Australia, the Asia-Pacific region, and South Africa. The company was founded by William R. Berkley in 1967 and is headquartered in Greenwich, CT."
11000265,"Anghami, Inc.",,Edgard Jean Maroun,2012,http://www.anghami.com,Communication Services,Entertainment,ANGH,Stock,PORTRAIT,NASDAQ,NASDAQ,"Anghami, Inc. engages in the provision of digital entertainment and online streaming platforms. It includes music, podcasts, music videos, and live events. Its products are available on all devices such as mobile and tablets, desktop and laptop, cars, speakers, Chromecast, PlayStation, wearables, and Apple TV. The company was founded by Edgard Jean Maroun and Elias Nabil Habib on February 14, 2012 and is headquartered in Abu Dhabi, United Arab Emirates."
11006736,"Oil States International, Inc.",2752,Cynthia B. Taylor,1995,http://www.oilstatesintl.com,Energy,Energy Equipment & Services,OIS,Stock,PORTRAIT,NYSE,New York Stock Exchange,"Oil States International, Inc. engages in the provision of manufactured products and services used in the drilling, completion, subsea, production and infrastructure sectors of the oil and natural gas industry, as well as in the industrial and military sectors. It operates through the following segments: Well Site Services, Downhole Technologies and Offshore or Manufactured Products. The Well Site Services segment includes a broad range of equipment and services that are used to drill for, establish and maintain the flow of oil and natural gas from a well throughout its life cycle. The Downhole Technologies segment provides oil and gas perforation systems and downhole tools in support of completion, intervention, wireline and abandonment operations. It also designs, manufactures and markets its consumable engineered products to oilfield service as well as exploration and production companies. The Offshore or Manufactured Products segment designs, manufactures, and markets capital equipment utilized on floating production systems, subsea pipeline infrastructure, and offshore drilling rigs and vessels, along with short-cycle and other products. The company was founded in July 1995 and is headquartered in Houston, TX."
11004272,UP Fintech Holding Ltd.,,Tian Hua Wu,2014,http://www.itiger.com,Financials,Capital Markets,TIGR,DepositoryReceipt,PORTRAIT,NASDAQ,NASDAQ,"UP Fintech Holding Ltd. is a brokerage firm, which engages in the provision of online brokerage services. The company was founded by Tian Hua Wu in 2014 and is headquartered in Singapore."
11001644,"Five Below, Inc.",22000,Joel D. Anderson,2002,http://www.fivebelow.com,Consumer Discretionary,Specialty Retail,FIVE,Stock,PORTRAIT,NASDAQ,NASDAQ,"Five Below, Inc. operates as a specialty value retailer. It operates through the following segments: Leisure, Fashion and Home, and Party and Snack. The Leisure segment includes items such as sporting goods, games, toys, tech, books, electronic accessories, and arts and crafts. The Fashion and Home segment consists of personal accessories, “attitude” t-shirts, beauty offerings, home goods, and storage options. The Party and Snack segment offers party and seasonal goods, greeting cards, candy, and other snacks and beverages. The company was founded by David Schlessinger and Thomas G. Vellios in January 2002 and is headquartered in Philadelphia, PA."
11001665,"Fluent, Inc.",277,Donald Huntley Patrick,2001,http://www.fluentco.com,Communication Services,Media,FLNT,Stock,PORTRAIT,NASDAQ,NASDAQ,"Fluent, Inc. engages in the provision of digital marketing services. It operates through the Fluent and All Other segments. The Fluent segment includes delivering data and performance-based marketing executions. The All Other segment represents the operation results of AdParlor, LLC, a digital advertising solution for social media buying. The company was founded by Ryan Schulke and Matthew Conlin in 2001 and is headquartered in New York, NY."
