,Stock,Start Date,End Date,Drawdown Percentage
0,AAL,2023-07-12,2024-06-25,-41.91
1,AAL,2023-01-18,2023-06-27,-25.41
2,AAL,2023-07-06,2023-07-07,-2.4
3,AAON,2023-08-03,2023-12-14,-25.5
4,AAON,2024-05-02,2024-06-25,-23.79
5,AAON,2023-05-08,2023-07-17,-16.12
6,AAON,2024-02-29,2024-03-21,-8.25
7,AAON,2024-04-09,2024-04-29,-8.23
8,AAPL,2023-12-15,2024-06-11,-16.61
9,AAPL,2023-08-01,2023-12-13,-14.93
10,AAPL,2023-02-16,2023-03-16,-6.45
11,AAPL,2024-06-18,2024-06-25,-4.24
12,AAPL,2023-04-04,2023-04-18,-3.65
13,ABCB,2023-02-06,2023-12-13,-41.93
14,ABCB,2023-12-29,2024-06-25,-16.98
15,ABCB,2023-01-17,2023-02-02,-7.18
16,ABCB,2023-12-15,2023-12-26,-2.15
17,ABCB,2023-01-05,2023-01-06,-1.03
18,ABNB,2023-07-31,2024-02-12,-25.59
19,ABNB,2023-02-17,2023-07-13,-25.1
20,ABNB,2024-03-22,2024-06-25,-16.14
21,ABNB,2023-02-08,2023-02-14,-9.04
22,ABNB,2024-02-16,2024-03-01,-6.05
23,ACAD,2023-07-18,2024-06-25,-56.32
24,ACAD,2023-03-02,2023-04-28,-14.91
25,ACAD,2023-05-25,2023-07-12,-8.38
26,ACAD,2023-02-08,2023-02-28,-7.41
27,ACAD,2023-01-23,2023-02-02,-4.24
28,ACGL,2023-11-02,2024-03-11,-18.42
29,ACGL,2023-03-07,2023-04-18,-12.5
30,ACGL,2023-05-12,2023-07-17,-9.88
31,ACGL,2023-07-24,2023-10-11,-9.82
32,ACGL,2023-10-18,2023-10-31,-6.07
33,ACGLN,2023-05-23,2023-11-29,-16.18
34,ACGLN,2023-01-30,2023-05-05,-12.01
35,ACGLN,2024-04-02,2024-06-25,-8.23
36,ACGLN,2024-03-14,2024-04-01,-3.0
37,ACGLN,2023-11-30,2023-12-14,-2.72
38,ACGLO,2023-05-31,2023-12-20,-17.1
39,ACGLO,2023-02-03,2023-05-12,-12.1
40,ACGLO,2024-03-11,2024-06-25,-7.73
41,ACGLO,2024-01-02,2024-02-23,-3.32
42,ACGLO,2023-05-15,2023-05-17,-1.34
43,ACHC,2024-02-28,2024-06-25,-28.05
44,ACHC,2023-01-17,2024-02-27,-21.85
45,ACHC,2023-01-09,2023-01-12,-1.91
46,ACHC,2023-01-05,2023-01-06,-1.31
47,ACIW,2023-01-23,2023-12-13,-31.87
48,ACIW,2024-05-20,2024-06-25,-8.4
49,ACIW,2024-01-30,2024-02-15,-7.72
50,ACIW,2024-04-10,2024-04-30,-7.18
51,ACIW,2024-03-01,2024-03-28,-5.5
52,ACLS,2023-08-01,2024-06-25,-52.72
53,ACLS,2023-03-22,2023-05-17,-14.92
54,ACLS,2023-07-18,2023-07-28,-9.26
55,ACLS,2023-06-13,2023-06-30,-8.31
56,ACLS,2023-03-02,2023-03-21,-7.34
57,ACLX,2023-05-11,2023-11-07,-33.53
58,ACLX,2024-03-21,2024-06-25,-32.32
59,ACLX,2023-01-30,2023-04-17,-20.68
